path	import_or_export_origin	call_lines
skills/nova/plugins/demo-handoff/src/binding.ts	@kubeclaw/plugin-sdk	12,30
skills/nova/plugins/demo-handoff/src/protocol.ts	@kubeclaw/plugin-sdk	28,29,35
skills/nova/plugins/human-approval/src/architecture-approval.ts	@kubeclaw/plugin-sdk	102
skills/nova/plugins/implementation-agent/src/repair-evidence.ts	@kubeclaw/plugin-sdk	19,36,43
skills/nova/plugins/pipeline-review/src/evidence-adapter.ts	@kubeclaw/plugin-sdk	7,8,41,44
skills/nova/plugins/pipeline-review/src/evidence-bundle.ts	@kubeclaw/plugin-sdk	15,19,41,63,65,69
skills/nova/plugins/pipeline-review/src/protocol.ts	@kubeclaw/plugin-sdk	17,18,19
skills/nova/plugins/pipeline-review/src/stage.ts	@kubeclaw/plugin-sdk	17,28,31
skills/nova/plugins/preflight-contract/src/source-stage.ts	@kubeclaw/plugin-sdk	23,33
skills/nova/plugins/prism-design/src/stage.ts	@kubeclaw/plugin-sdk	17
skills/nova/plugins/project-summary/src/summary.ts	@kubeclaw/plugin-sdk	34,46,47,48,49,50,71,102
skills/nova/plugins/remote-test-gate/src/demo-evidence.ts	@kubeclaw/plugin-sdk	17,48,61
skills/nova/plugins/remote-test-gate/src/evidence-adapter.ts	@kubeclaw/plugin-sdk	21,22,41,63
skills/nova/plugins/repository-adapter/src/revision-reader.ts	@kubeclaw/plugin-sdk	233,251,266,286,329
skills/nova/plugins/review/scripts/evaluate-review-quality.mts	@kubeclaw/plugin-sdk	77,91,113,132,217,219,228,229,251
skills/nova/plugins/review/scripts/evaluate-scalable-review.mts	local declaration / inspect source	27
skills/nova/plugins/review/src/repository-audit-cache.ts	@kubeclaw/plugin-sdk	71,81
skills/nova/plugins/review/src/repository-audit-stage.ts	@kubeclaw/plugin-sdk	236,240,244,292,309,423,630,635,646,658,670,697,704,731
skills/nova/plugins/review/src/repository-revalidation-contract.ts	@kubeclaw/plugin-sdk	143
skills/nova/plugins/review/src/repository-revalidation-stage.ts	@kubeclaw/plugin-sdk	122,293
skills/nova/plugins/review/src/repository-review-profile.ts	@kubeclaw/plugin-sdk	342
skills/nova/plugins/review/src/review-bundle-bounds.ts	@kubeclaw/plugin-sdk	36,87
skills/nova/plugins/review/src/review-bundle-parser.ts	@kubeclaw/plugin-sdk	189
skills/nova/plugins/review/src/review-bundle-snapshot.ts	@kubeclaw/plugin-sdk	16,30
skills/nova/plugins/review/src/review-cluster-identity.ts	@kubeclaw/plugin-sdk	14,20
skills/nova/plugins/review/src/review-content-cache.ts	@kubeclaw/plugin-sdk	42,48,53,62,68,73
skills/nova/plugins/review/src/review-context-authority.ts	@kubeclaw/plugin-sdk	28,30
skills/nova/plugins/review/src/review-context-production.ts	@kubeclaw/plugin-sdk	108,117
skills/nova/plugins/review/src/review-context-selection.ts	@kubeclaw/plugin-sdk	138
skills/nova/plugins/review/src/review-coverage.ts	@kubeclaw/plugin-sdk	14,16,17
skills/nova/plugins/review/src/review-governor.ts	@kubeclaw/plugin-sdk	133,134,147,171
skills/nova/plugins/review/src/review-graph.ts	@kubeclaw/plugin-sdk	124,175
skills/nova/plugins/review/src/review-map-artifacts.ts	@kubeclaw/plugin-sdk	51,85,95,101
skills/nova/plugins/review/src/review-policy-resolver.ts	@kubeclaw/plugin-sdk	35
skills/nova/plugins/review/src/review-preparation.ts	@kubeclaw/plugin-sdk	60
skills/nova/plugins/review/src/review-proposal-preflight.ts	@kubeclaw/plugin-sdk	249,299
skills/nova/plugins/review/src/review-repair-batch.ts	@kubeclaw/plugin-sdk	35
skills/nova/plugins/review/src/review-report-builder.ts	@kubeclaw/plugin-sdk	43
skills/nova/plugins/review/src/review-report-contract.ts	@kubeclaw/plugin-sdk	209
skills/nova/plugins/review/src/review-report-storage.ts	@kubeclaw/plugin-sdk	67,68,87
skills/nova/plugins/review/src/review-repository.ts	@kubeclaw/plugin-sdk	107,150
skills/nova/plugins/review/src/review-runtime-attestation.ts	@kubeclaw/plugin-sdk	23
skills/nova/plugins/review/src/review-scale-slicing.ts	@kubeclaw/plugin-sdk	102,141,169
skills/nova/plugins/review/src/review-slicing.ts	@kubeclaw/plugin-sdk	179
skills/nova/plugins/review/src/review-snapshot-inventory.ts	@kubeclaw/plugin-sdk	119,127,129
skills/nova/plugins/review/src/review-stage-input.ts	@kubeclaw/plugin-sdk	109,202
skills/nova/plugins/review/src/review-verified-findings.ts	@kubeclaw/plugin-sdk	49,51,61,94
skills/nova/plugins/review/src/review-verifier.ts	@kubeclaw/plugin-sdk	27
skills/nova/plugins/review/src/scalable-review-compiler.ts	@kubeclaw/plugin-sdk	123,172,186,229,234,251
skills/nova/plugins/review/src/scalable-review-jobs.ts	@kubeclaw/plugin-sdk	154,185,316,340,348
skills/nova/plugins/review/src/scalable-review-verification.ts	@kubeclaw/plugin-sdk	71,78,153,202,235,249,387
skills/nova/plugins/review/src/simplification-fact-producer.ts	@kubeclaw/plugin-sdk	58
skills/nova/plugins/review/src/simplification-manifest.ts	@kubeclaw/plugin-sdk	35,49
skills/nova/plugins/review/src/simplification-miner.ts	@kubeclaw/plugin-sdk	37,128
skills/nova/project/cli.ts	@kubeclaw/plugin-sdk	32,33
skills/nova/project/compiler.ts	@kubeclaw/plugin-sdk	67,76
skills/nova/project/coverage.ts	@kubeclaw/plugin-sdk	43
skills/nova/project/source.ts	@kubeclaw/plugin-sdk	41
skills/worker/core/src/index.ts	../worker/digest.ts	<no direct call>
skills/worker/core/worker/digest.ts	@kubeclaw/pipeline-worker-core-contract	<no direct call>
